City,Population_2021,Population_2024,EmpPopRatio_2021,EmpPopRatio_2024,LFPR_2021,LFPR_2024,Median_HH_Income_2021,Median_HH_Income_2024,Unemployment_Rate_2021,Unemployment_Rate_2024
"Port Charlotte CDP, Florida","65,671","68,091",44.1%,48.3%,47.2%,50.8%,"54,814","70,410",6.4%,4.8%
"Port St. Lucie city, Florida","217,535","258,578",56.0%,55.8%,60.3%,59.2%,"71,381","86,241",6.8%,5.2%
"Riverview CDP, Florida","114,560","115,462",67.1%,60.5%,72.8%,64.3%,"81,195","95,074",6.3%,4.6%
"St. Petersburg city, Florida","258,214","267,073",61.1%,63.0%,64.7%,65.6%,"64,141","73,048",5.3%,3.5%
"Spring Hill CDP, Florida","123,509","117,931",51.9%,51.3%,55.2%,53.5%,"59,363","71,269",5.9%,4.1%
"Sunrise city, Florida","96,031","100,131",62.0%,67.8%,66.8%,68.9%,"66,184","83,926",6.6%,1.6%
"Tallahassee city, Florida","197,103","205,091",64.3%,60.0%,68.6%,65.0%,"51,224","56,511",6.0%,7.5%
"Tamarac city, Florida","71,522","75,150",,,,,"59,885","64,044",,
"Tampa city, Florida","387,037","414,575",62.0%,65.2%,66.2%,69.0%,"63,404","84,114",5.3%,4.8%
"The Villages CDP, Florida","80,691","81,782",,,,,"65,117","74,494",,
"Town 'n' Country CDP, Florida","87,862","86,253",64.2%,,69.7%,,"58,140","75,474",6.9%,
"Wesley Chapel CDP, Florida","77,319","83,673",,64.9%,,69.8%,"90,878","101,757",,6.9%
"Weston city, Florida","67,322","70,672",60.6%,,63.0%,,"122,774","126,894",3.7%,
"West Palm Beach city, Florida","117,253","127,733",57.7%,62.8%,61.1%,66.3%,"59,400","74,478",5.6%,5.3%
"Albany city, Georgia","67,146","67,418",47.8%,48.8%,52.0%,56.2%,"38,999","47,676",8.1%,12.8%
"Alpharetta city, Georgia","66,108","67,264",,71.1%,,72.8%,"122,326","173,310",,2.1%
"Athens-Clarke County unified government (balance), Georgia","126,006","128,630",61.1%,62.0%,64.8%,64.1%,"50,299","52,264",4.3%,3.3%
"Atlanta city, Georgia","496,480","520,066",62.7%,66.6%,66.4%,70.4%,"74,107","88,165",5.2%,5.1%
"Augusta-Richmond County consolidated government (balance), Georgia","200,032","201,930",52.1%,54.0%,63.3%,62.0%,"47,921","58,803",9.7%,8.0%
"Columbus city, Georgia","205,617","201,830",52.0%,53.7%,59.7%,60.5%,"52,734","57,010",7.1%,5.1%
"Johns Creek city, Georgia","82,078","81,176",62.1%,64.4%,64.5%,67.3%,"132,870","157,146",3.7%,4.2%
"Macon-Bibb County, Georgia","156,762","157,056",53.4%,49.7%,58.5%,55.4%,"48,176","47,018",8.2%,9.9%
"Roswell city, Georgia","92,532","92,229",,71.0%,,72.8%,"104,825","126,528",,2.3%
"Sandy Springs city, Georgia","107,179","105,506",70.1%,72.2%,72.4%,75.1%,"94,456","107,461",3.3%,3.8%
"Savannah city, Georgia","147,087","148,809",56.9%,56.4%,63.1%,62.4%,"49,612","55,907",7.5%,7.5%
"South Fulton city, Georgia","108,573","112,003",,65.1%,,70.7%,"73,958","84,745",,7.8%
"Warner Robins city, Georgia","82,252","85,856",58.7%,59.7%,66.5%,63.8%,"58,864","69,011",7.7%,3.7%
"Urban Honolulu CDP, Hawaii","345,532","344,977",55.0%,60.4%,62.8%,65.7%,"73,434","86,169",8.0%,2.9%
"Boise City city, Idaho","237,457","237,959",65.5%,62.7%,67.5%,65.5%,"70,217","81,102",2.8%,4.0%
"Idaho Falls city, Idaho","66,895","69,528",60.3%,64.6%,62.9%,67.5%,"61,833","79,317",4.2%,4.1%
"Meridian city, Idaho","125,959","139,736",,67.5%,,70.6%,"88,088","95,088",,4.0%
"Nampa city, Idaho","106,186","117,346",,64.3%,,67.3%,"63,471","82,044",,4.3%
"Arlington Heights village, Illinois","75,579","75,472",66.1%,,69.1%,,"102,237","108,505",4.4%,
"Aurora city, Illinois","183,491","180,791",67.6%,67.8%,71.9%,70.6%,"83,996","94,784",6.0%,3.9%
"Bloomington city, Illinois","78,283","79,239",66.1%,,68.1%,,"71,700","78,106",3.0%,
"Bolingbrook village, Illinois","74,526","73,856",68.8%,62.8%,72.3%,69.4%,"94,040","97,205",4.9%,9.5%
"Champaign city, Illinois","89,116","91,951",57.9%,58.9%,60.8%,61.3%,"53,410","58,903",4.8%,3.7%
"Chicago city, Illinois","2,696,561","2,721,326",60.4%,64.1%,67.2%,69.2%,"66,576","80,613",10.1%,7.3%
"Cicero town, Illinois","83,167","82,093",56.5%,59.4%,59.4%,63.9%,"57,495","65,523",4.5%,7.1%
"Decatur city, Illinois","70,676","66,528",47.1%,51.5%,55.1%,54.7%,"40,368","49,244",14.3%,5.7%
"Elgin city, Illinois","117,850","115,541",65.3%,67.1%,69.5%,70.0%,"79,120","101,861",5.7%,4.0%
"Evanston city, Illinois","77,532","75,994",57.3%,62.1%,61.4%,63.8%,"82,154","93,016",6.6%,2.4%
"Joliet city, Illinois","152,563","151,937",63.4%,68.5%,68.9%,71.3%,"76,495","103,163",7.9%,3.5%
"Naperville city, Illinois","148,863","153,337",63.4%,63.8%,67.2%,67.6%,"129,664","150,360",5.4%,5.5%
"Palatine village, Illinois","66,272","65,890",66.1%,,69.4%,,"75,479","92,845",4.8%,
"Peoria city, Illinois","110,915","115,996",54.2%,62.4%,60.0%,66.0%,"47,287","65,078",9.5%,5.6%
"Rockford city, Illinois","148,539","144,779",51.2%,56.4%,58.7%,60.0%,"44,525","52,564",12.8%,6.1%
"Schaumburg village, Illinois","75,913","78,223",63.6%,68.1%,67.3%,70.4%,"79,308","104,062",5.5%,3.1%
"Skokie village, Illinois","66,410","65,847",57.3%,62.0%,61.9%,64.5%,"88,618","92,216",7.4%,3.5%
"Springfield city, Illinois","114,340","112,170",54.3%,57.3%,59.8%,60.3%,"62,505","72,889",8.9%,3.9%
"Waukegan city, Illinois","85,791","92,114",63.1%,59.6%,69.8%,66.4%,"64,178","66,302",8.2%,9.2%
"Bloomington city, Indiana","78,988","77,725",51.0%,56.2%,53.6%,59.3%,"37,734","50,545",4.9%,5.2%
"Carmel city, Indiana","100,780","103,858",67.7%,68.3%,69.2%,70.6%,"106,990","145,366",2.1%,3.0%
"Evansville city, Indiana","117,273","114,812",58.9%,58.9%,62.3%,63.1%,"46,662","52,094",5.5%,6.5%
"Fishers city, Indiana","103,081","104,730",,,,,"121,501","132,204",,
"Fort Wayne city, Indiana","263,814","273,425",60.9%,64.5%,64.9%,67.1%,"54,737","61,436",6.0%,4.0%
"Hammond city, Indiana","76,991","76,035",56.5%,58.2%,61.7%,60.9%,"46,248","58,647",8.4%,4.4%
"Indianapolis city (balance), Indiana","882,327","890,315",63.6%,66.5%,67.8%,69.6%,"58,479","66,900",6.0%,4.4%
"Lafayette city, Indiana","72,041","73,124",62.3%,68.0%,65.2%,69.5%,"47,456","57,003",4.3%,2.0%
"Noblesville city, Indiana","71,810","75,408",,,,,"81,849","116,235",,
"South Bend city, Indiana","104,523","102,944",56.3%,59.5%,59.6%,64.7%,"50,248","53,006",5.6%,7.9%
"Ames city, Iowa","66,422","69,029",57.4%,67.2%,60.6%,68.8%,"52,005","58,709",4.7%,2.4%
"Ankeny city, Iowa","70,289","76,724",,,,,"94,508","102,518",,
"Cedar Rapids city, Iowa","136,464","137,917",65.7%,65.7%,69.1%,67.9%,"60,977","69,917",4.9%,3.2%
"Davenport city, Iowa","101,010","100,948",60.4%,63.1%,64.4%,64.6%,"53,914","64,686",5.9%,2.2%
"Des Moines city, Iowa","212,333","213,188",66.2%,69.5%,70.1%,73.7%,"60,693","67,297",5.3%,5.8%
"Iowa City city, Iowa","74,582","76,711",70.2%,67.1%,73.2%,69.3%,"61,301","60,650",3.9%,3.2%
"Sioux City city, Iowa","86,369","87,526",64.2%,65.6%,66.8%,67.6%,"55,622","74,972",3.9%,2.8%
"Waterloo city, Iowa","66,934","67,471",61.9%,63.2%,64.4%,66.4%,"50,549","61,737",3.8%,4.9%
"West Des Moines city, Iowa","69,951","73,744",,,,,"62,073","83,355",,
"Kansas City city, Kansas","154,804","157,450",60.1%,64.7%,64.6%,69.5%,"53,884","63,917",6.7%,6.5%
"Lawrence city, Kansas","95,251","97,265",62.6%,67.9%,66.6%,71.5%,"52,475","67,129",5.6%,4.9%
"Olathe city, Kansas","143,006","149,027",70.1%,71.7%,71.6%,74.0%,"99,631","113,624",2.1%,2.9%
"Overland Park city, Kansas","197,113","202,909",70.1%,68.2%,72.6%,70.2%,"89,280","101,372",3.5%,2.8%
"Shawnee city, Kansas","67,521","69,721",,,,,"92,844","106,642",,
"Topeka city, Kansas","125,969","125,475",58.1%,61.4%,60.6%,64.6%,"49,040","61,030",3.4%,4.8%
"Wichita city, Kansas","395,707","400,993",60.7%,62.6%,65.9%,67.0%,"56,293","65,855",7.2%,5.7%
"Bowling Green city, Kentucky","73,513","79,083",64.2%,62.7%,67.2%,65.7%,"43,443","53,609",4.4%,4.6%
"Lexington-Fayette urban county, Kentucky","321,793","329,437",63.8%,66.8%,67.5%,69.9%,"60,942","69,989",5.4%,4.4%
"Louisville/Jefferson County metro government (balance), Kentucky","628,577","640,793",60.8%,60.7%,64.4%,65.3%,"57,182","67,251",5.3%,6.7%
"Baton Rouge city, Louisiana","222,177","220,901",53.2%,55.8%,59.7%,60.2%,"41,257","50,332",10.9%,7.3%
"Kenner city, Louisiana","65,376","64,651",56.5%,55.2%,61.7%,58.8%,"55,753","60,026",8.1%,6.1%
"Lafayette city, Louisiana","121,763","122,273",61.7%,57.4%,64.7%,61.0%,"57,953","59,445",4.3%,5.5%
"Lake Charles city, Louisiana","81,102","81,166",,55.4%,,61.1%,"45,995","52,738",,9.2%
"Metairie CDP, Louisiana","144,999","145,144",61.6%,66.1%,64.4%,68.5%,"66,074","70,235",4.1%,3.2%
"New Orleans city, Louisiana","376,971","362,701",53.6%,57.5%,59.9%,61.6%,"46,942","58,821",9.4%,6.0%
"Shreveport city, Louisiana","183,489","177,972",50.0%,56.5%,56.9%,60.6%,"42,034","50,291",11.5%,5.8%
"Portland city, Maine","68,329","69,572",66.1%,,70.1%,,"70,244","82,059",5.6%,
"Baltimore city, Maryland","576,498","568,271",57.2%,61.8%,62.3%,66.4%,"54,652","64,778",7.9%,6.8%
"Bethesda CDP, Maryland","68,014","71,717",62.7%,68.6%,66.1%,71.2%,"167,162","187,236",3.9%,2.1%
"Columbia CDP, Maryland","104,043","101,936",66.4%,67.7%,69.0%,70.9%,"110,002","136,002",2.9%,3.7%
"Ellicott City CDP, Maryland","76,286","77,698",61.0%,58.8%,65.4%,62.9%,"141,110","148,389",6.1%,3.8%
"Frederick city, Maryland","79,588","89,545",64.8%,67.5%,69.6%,73.1%,"81,411","106,197",5.8%,4.4%
"Gaithersburg city, Maryland","69,109","70,708",68.7%,69.9%,72.2%,73.7%,"99,429","119,888",4.7%,4.2%
"Germantown CDP, Maryland","85,247","91,497",67.8%,72.4%,73.2%,76.2%,"91,931","122,406",6.2%,4.9%
"Glen Burnie CDP, Maryland","71,019","77,937",64.7%,66.9%,69.4%,71.6%,"83,577","86,745",5.1%,4.3%
"Rockville city, Maryland","67,133","68,417",63.6%,64.5%,66.6%,69.6%,"118,903","142,536",3.6%,6.1%
"Silver Spring CDP, Maryland","80,265","77,793",70.4%,74.8%,76.0%,78.4%,"84,223","115,126",7.0%,4.3%
"Waldorf CDP, Maryland","80,123","81,672",66.6%,,74.1%,,"103,784","114,856",7.3%,
"Boston city, Massachusetts","654,281","673,822",63.6%,65.7%,69.3%,69.2%,"79,283","97,791",8.0%,4.8%
"Brockton city, Massachusetts","105,455","105,785",62.7%,63.0%,68.4%,68.4%,"68,581","75,210",8.0%,7.8%
"Cambridge city, Massachusetts","117,097","121,203",66.9%,69.7%,69.6%,72.2%,"104,746","143,108",3.7%,3.4%
"Fall River city, Massachusetts","93,883","94,687",54.3%,,59.6%,,"46,672","50,778",8.9%,
"Framingham city, Massachusetts","71,260","73,356",70.2%,68.9%,72.2%,75.1%,"94,023","110,159",2.7%,8.2%
"Haverhill city, Massachusetts","67,356","68,281",65.8%,,71.7%,,"80,388","84,893",8.1%,
"Lawrence city, Massachusetts","88,511","89,323",59.5%,66.9%,66.2%,72.3%,"49,087","62,061",10.1%,6.9%
"Lowell city, Massachusetts","114,005","120,418",62.3%,66.0%,65.5%,69.8%,"64,221","82,956",4.8%,5.5%
"Lynn city, Massachusetts","100,831","103,510",61.7%,65.4%,65.1%,68.3%,"64,986","73,340",5.2%,4.2%
"Malden city, Massachusetts","65,057","66,699",,,,,"86,410","113,563",,
"New Bedford city, Massachusetts","100,947","101,313",56.8%,59.2%,63.3%,63.8%,"49,237","57,240",10.3%,7.0%
"Newton city, Massachusetts","87,455","90,695",65.2%,64.3%,67.8%,66.9%,"183,208","179,843",3.9%,3.9%
"Quincy city, Massachusetts","101,131","103,430",65.8%,69.4%,72.1%,72.6%,"81,748","101,775",8.4%,4.2%
"Somerville city, Massachusetts","79,819","82,144",71.8%,79.5%,74.7%,81.7%,"107,651","142,553",3.6%,2.6%
"Springfield city, Massachusetts","154,788","154,886",46.4%,53.1%,53.5%,56.7%,"42,498","57,384",12.9%,6.5%
"Worcester city, Massachusetts","205,917","211,289",58.2%,61.1%,64.9%,65.1%,"63,194","71,042",10.3%,6.1%
"Ann Arbor city, Michigan","121,541","122,914",59.6%,56.5%,63.0%,59.0%,"68,864","80,603",4.3%,4.0%
"Dearborn city, Michigan","108,419","106,383",48.7%,52.2%,52.8%,54.2%,"61,079","59,786",7.8%,3.7%
"Detroit city, Michigan","632,589","645,702",45.3%,48.8%,54.9%,54.6%,"36,140","39,209",17.4%,10.5%
"Farmington Hills city, Michigan","83,289","84,160",65.5%,65.6%,68.3%,67.7%,"95,960","104,761",4.1%,3.1%
"Flint city, Michigan","80,628","79,727",46.1%,47.1%,54.7%,53.4%,"37,102","41,410",15.7%,11.8%
"Grand Rapids city, Michigan","197,423","200,131",64.6%,66.3%,69.3%,70.3%,"59,596","70,515",6.6%,5.7%
"Kalamazoo city, Michigan","73,255","73,280",59.6%,62.3%,64.6%,65.7%,"40,227","59,226",7.8%,4.3%
"Lansing city, Michigan","111,833","113,466",58.2%,65.1%,64.3%,68.8%,"48,818","55,366",9.5%,5.4%
"Livonia city, Michigan","94,407","93,118",56.9%,62.4%,59.9%,64.5%,"87,332","98,834",5.1%,3.3%
"Novi city, Michigan","66,575","67,678",,,,,"104,597","109,321",,
"Rochester Hills city, Michigan","76,021","78,328",62.2%,63.6%,65.5%,66.2%,"103,023","127,505",4.9%,4.0%
"Southfield city, Michigan","75,901","76,885",54.6%,57.8%,60.4%,62.0%,"55,463","66,815",9.6%,6.8%
"Sterling Heights city, Michigan","133,256","134,343",55.7%,57.2%,60.8%,60.5%,"69,104","81,102",8.4%,5.5%
"Troy city, Michigan","86,837","89,205",59.0%,64.5%,61.5%,67.8%,"98,170","118,720",4.0%,4.6%
"Warren city, Michigan","138,142","137,709",56.8%,57.9%,63.9%,62.9%,"60,042","56,281",11.1%,7.5%
"Westland city, Michigan","84,528","82,745",58.5%,64.2%,62.2%,67.8%,"56,191","61,390",5.9%,5.4%
"Wyoming city, Michigan","76,747","78,557",66.9%,,71.0%,,"61,583","64,645",5.8%,
"Blaine city, Minnesota","70,953","75,170",67.4%,64.6%,71.2%,67.5%,"89,533","98,068",5.3%,4.2%
"Bloomington city, Minnesota","89,308","88,339",61.2%,65.5%,65.7%,68.1%,"80,577","86,097",6.9%,3.4%
"Brooklyn Park city, Minnesota","84,533","82,887",,,,,"74,807","92,493",,
"Duluth city, Minnesota","86,373","87,990",60.6%,65.5%,65.2%,69.4%,"61,944","69,255",6.2%,5.3%
"Eagan city, Minnesota","68,646","67,238",73.2%,70.8%,76.4%,72.0%,"100,490","110,352",4.1%,1.5%
"Lakeville city, Minnesota","72,805","77,973",71.1%,,74.8%,,"131,125","130,795",4.2%,
"Maple Grove city, Minnesota","70,730","72,741",,73.0%,,74.7%,"117,442","119,749",,2.3%
"Minneapolis city, Minnesota","425,338","428,572",67.4%,68.4%,73.8%,72.4%,"69,397","77,732",8.4%,5.5%
"Plymouth city, Minnesota","79,833","78,545",,67.2%,,69.2%,"106,962","127,649",,2.8%
"Rochester city, Minnesota","121,471","123,616",67.3%,69.9%,70.3%,71.7%,"75,902","90,020",4.2%,2.4%
"St. Cloud city, Minnesota","69,809","69,609",65.0%,67.0%,70.9%,69.0%,"53,036","66,580",8.0%,2.8%
"St. Paul city, Minnesota","307,176","307,484",65.5%,65.8%,70.0%,69.1%,"66,098","70,182",6.3%,4.7%
"Woodbury city, Minnesota","76,994","80,590",,,,,"114,592","111,734",,
"Gulfport city, Mississippi","72,096","74,632",48.6%,52.7%,57.3%,58.3%,"43,066","52,946",12.3%,6.2%
"Jackson city, Mississippi","149,813","141,376",52.7%,57.8%,59.2%,62.5%,"35,070","44,516",10.9%,7.5%
"Columbia city, Missouri","126,850","130,913",64.4%,65.3%,68.7%,67.4%,"60,662","80,543",5.5%,3.0%
"Independence city, Missouri","122,083","121,606",54.6%,58.4%,58.2%,60.6%,"52,919","58,535",5.9%,3.5%
"Kansas City city, Missouri","508,415","516,045",65.3%,67.0%,70.1%,69.2%,"63,396","69,958",6.2%,2.7%
"Lee's Summit city, Missouri","102,506","106,296",67.8%,65.4%,71.0%,67.3%,"100,246","102,857",4.2%,2.3%
"O'Fallon city, Missouri","93,651","95,363",72.9%,72.5%,74.7%,74.4%,"97,868","113,996",2.4%,2.2%
"St. Charles city, Missouri","70,832","72,463",64.8%,62.8%,66.9%,65.6%,"76,340","78,391",2.6%,4.2%
"St. Joseph city, Missouri","75,763","69,221",56.8%,61.3%,59.6%,62.9%,"46,089","57,010",4.6%,2.5%
"St. Louis city, Missouri","293,310","279,695",60.3%,63.6%,64.7%,67.2%,"49,965","53,374",6.3%,5.0%
"Springfield city, Missouri","169,850","170,572",60.5%,62.2%,63.8%,64.5%,"41,808","54,414",4.8%,3.5%
"Billings city, Montana","117,453","121,478",61.1%,65.0%,64.2%,67.5%,"65,818","69,112",5.0%,3.8%
"Missoula city, Montana","74,834","78,213",68.3%,66.4%,72.3%,68.3%,"63,270","69,832",5.5%,2.9%
"Lincoln city, Nebraska","292,648","300,626",69.0%,67.2%,71.1%,69.8%,"62,294","72,008",2.8%,3.4%
"Omaha city, Nebraska","487,299","489,263",65.8%,65.6%,69.1%,69.1%,"62,948","71,640",4.1%,4.7%
"Enterprise CDP, Nevada","245,286","250,461",64.5%,68.0%,71.9%,71.9%,"84,902","111,128",9.8%,4.6%
"Henderson city, Nevada","322,202","350,020",57.3%,59.8%,63.1%,64.2%,"77,924","95,415",8.5%,6.4%
"Las Vegas city, Nevada","646,776","678,924",54.6%,59.8%,62.0%,64.9%,"59,746","78,556",10.9%,6.6%
"North Las Vegas city, Nevada","274,146","294,042",55.9%,60.8%,64.0%,67.7%,"67,035","78,969",11.2%,8.2%
"Paradise CDP, Nevada","185,849","183,959",56.3%,60.0%,65.9%,64.5%,"50,096","56,747",14.2%,6.9%
"Reno city, Nevada","268,843","281,684",62.3%,67.2%,65.6%,70.5%,"67,478","85,605",4.7%,4.5%
"Sparks city, Nevada","109,788","111,523",62.7%,63.2%,68.4%,67.8%,"78,778","91,545",7.7%,5.9%
"Spring Valley CDP, Nevada","213,552","221,300",59.2%,65.4%,68.2%,69.8%,"61,179","76,393",13.2%,5.7%
"Sunrise Manor CDP, Nevada","196,147","199,977",53.4%,59.6%,60.9%,65.7%,"51,287","63,515",11.8%,8.9%
"Manchester city, New Hampshire","115,470","116,381",71.7%,68.5%,74.6%,69.8%,"73,639","88,821",3.8%,1.9%
"Nashua city, New Hampshire","91,122","91,850",66.4%,66.0%,69.6%,68.7%,"85,870","94,787",4.6%,3.4%
"Bayonne city, New Jersey","69,195","74,526",59.3%,,63.6%,,"73,110","87,918",6.8%,
"Camden city, New Jersey","71,771","71,761",47.7%,50.3%,53.6%,58.9%,"39,654","38,735",11.1%,14.6%
"Clifton city, New Jersey","89,382","90,315",60.6%,61.5%,65.6%,64.1%,"81,857","86,591",7.7%,4.1%
"East Orange city, New Jersey","68,893","71,844",56.4%,,64.6%,,"51,368","65,313",12.7%,
"Elizabeth city, New Jersey","135,405","140,401",60.3%,62.5%,64.7%,67.3%,"51,549","62,114",6.7%,7.0%
"Jersey City city, New Jersey","283,943","302,822",61.5%,68.3%,67.3%,71.4%,"81,958","100,751",8.6%,4.4%
"Lakewood CDP, New Jersey","66,405","70,271",,,,,"40,338","63,997",,
"Newark city, New Jersey","307,216","317,303",50.4%,56.9%,59.5%,64.5%,"43,242","58,490",15.3%,11.8%
"Passaic city, New Jersey","69,637","70,730",58.3%,59.4%,68.0%,65.7%,"51,806","56,325",14.3%,9.6%
"Paterson city, New Jersey","157,783","160,446",53.6%,61.2%,63.7%,66.2%,"46,451","60,703",15.8%,7.5%
"Toms River CDP, New Jersey","93,947","96,868",60.0%,63.6%,64.4%,65.8%,"87,797","98,384",6.4%,3.4%
"Trenton city, New Jersey","90,458","91,204",51.3%,59.2%,59.0%,66.3%,"41,715","55,393",13.0%,10.4%
"Union City city, New Jersey","65,639","66,918",59.2%,,68.3%,,"59,393","64,430",13.0%,
"Albuquerque city, New Mexico","562,591","560,333",59.6%,59.9%,64.0%,63.2%,"58,512","71,494",6.1%,4.7%
"Las Cruces city, New Mexico","112,907","116,992",55.0%,61.5%,60.0%,65.1%,"42,058","58,871",7.4%,4.8%
"Rio Rancho city, New Mexico","105,839","112,518",56.2%,63.0%,61.0%,65.8%,"76,096","98,374",7.8%,3.7%
"Santa Fe city, New Mexico","88,196","90,553",58.3%,59.8%,63.7%,61.3%,"60,517","82,121",8.5%,2.5%
"Albany city, New York","98,624","101,314",56.0%,62.6%,62.1%,65.1%,"49,763","65,231",9.9%,3.8%
"Buffalo city, New York","276,804","276,618",53.6%,57.6%,59.7%,62.1%,"40,669","52,211",10.2%,7.2%
"Cheektowaga CDP, New York","76,676","73,359",63.0%,62.5%,67.2%,64.0%,"64,106","66,230",6.2%,2.3%
"Mount Vernon city, New York","72,584","71,982",55.3%,60.0%,64.9%,67.0%,"78,562","82,126",14.7%,10.5%
"New Rochelle city, New York","81,590","85,509",62.9%,61.8%,67.6%,64.5%,"106,386","105,762",7.0%,4.1%
"New York city, New York","8,467,513","8,478,072",55.1%,59.3%,62.5%,63.7%,"67,997","81,228",11.8%,6.9%
"Rochester city, New York","210,594","207,287",54.7%,58.1%,61.6%,61.1%,"41,980","46,882",11.0%,4.9%
"Schenectady city, New York","66,985","69,489",53.6%,59.7%,59.2%,65.4%,"53,316","58,429",9.5%,8.7%
"Syracuse city, New York","146,124","146,091",49.9%,53.6%,53.7%,57.8%,"40,076","51,770",6.9%,7.2%
"Yonkers city, New York","209,506","211,062",56.7%,58.2%,63.0%,61.9%,"66,395","81,868",9.8%,5.9%
"Asheville city, North Carolina","94,070","94,983",53.6%,59.7%,58.8%,63.4%,"59,758","78,996",7.9%,5.8%
"Cary town, North Carolina","178,508","181,838",65.4%,65.0%,69.1%,67.4%,"123,857","135,132",5.3%,3.6%
"Charlotte city, North Carolina","879,697","943,474",68.3%,70.8%,72.2%,74.1%,"70,869","86,416",5.0%,4.3%
"Concord city, North Carolina","107,688","112,398",67.4%,67.6%,71.6%,72.0%,"79,329","86,964",5.2%,5.9%
"Durham city, North Carolina","285,439","301,877",63.5%,67.2%,67.2%,69.4%,"71,343","82,916",5.2%,3.1%
"Fayetteville city, North Carolina","208,792","209,485",46.0%,47.5%,67.3%,65.3%,"51,629","54,562",9.5%,6.0%
"Gastonia city, North Carolina","81,159","85,528",61.2%,63.4%,65.0%,68.6%,"53,424","67,005",5.8%,7.5%
"Greensboro city, North Carolina","298,250","307,372",60.3%,61.8%,64.4%,64.4%,"51,825","63,516",6.4%,4.0%
"Greenville city, North Carolina","88,733","95,144",55.2%,58.2%,63.3%,63.2%,"36,687","52,016",12.4%,6.3%
"High Point city, North Carolina","115,287","117,109",57.5%,62.9%,61.7%,64.8%,"57,698","62,483",6.7%,3.0%
"Jacksonville city, North Carolina","72,881","70,843",24.4%,30.8%,75.2%,75.9%,"44,497","60,517",7.6%,7.0%
"Raleigh city, North Carolina","469,502","499,637",64.8%,69.5%,68.6%,72.1%,"74,612","85,060",5.5%,3.6%
"Wilmington city, North Carolina","117,642","125,267",58.9%,65.6%,63.5%,67.9%,"53,186","63,165",7.2%,3.1%
"Winston-Salem city, North Carolina","250,337","255,782",57.0%,59.9%,61.0%,62.7%,"54,228","57,758",6.3%,4.2%
"Bismarck city, North Dakota","74,141","77,778",64.8%,65.7%,66.3%,67.5%,"61,861","73,877",2.2%,2.0%
"Fargo city, North Dakota","124,843","138,059",70.6%,72.1%,74.6%,74.6%,"59,089","65,479",4.2%,2.0%
"Akron city, Ohio","189,343","189,669",55.0%,60.3%,59.9%,64.0%,"41,628","48,521",8.2%,5.8%
"Canton city, Ohio","70,438","69,209",49.9%,56.0%,56.2%,60.6%,"40,934","46,320",10.5%,7.6%
"Cincinnati city, Ohio","308,913","314,914",59.3%,63.7%,64.4%,67.6%,"42,733","56,910",7.6%,5.7%
"Cleveland city, Ohio","368,006","365,391",52.4%,57.0%,59.8%,61.5%,"35,562","43,383",12.3%,7.2%
"Columbus city, Ohio","907,310","931,551",65.3%,66.4%,69.7%,69.7%,"58,202","67,084",6.2%,4.7%
"Dayton city, Ohio","137,581","136,343",49.7%,55.7%,55.9%,60.1%,"39,315","45,846",10.0%,7.2%
"Lorain city, Ohio","65,440","65,765",52.6%,,56.4%,,"43,410","52,749",6.9%,
"Parma city, Ohio","79,984","79,354",61.3%,65.9%,65.3%,69.1%,"57,444","73,861",5.8%,4.6%
"Toledo city, Ohio","268,504","265,651",57.0%,58.1%,63.2%,62.8%,"44,150","50,562",9.3%,7.4%
"Broken Arrow city, Oklahoma","117,775","122,131",63.8%,64.3%,67.5%,66.9%,"73,628","91,077",5.1%,3.5%
"Edmond city, Oklahoma","95,334","99,036",62.2%,61.8%,64.8%,64.0%,"90,384","105,339",3.6%,3.0%
"Lawton city, Oklahoma","91,058","90,039",43.1%,46.9%,61.1%,62.0%,"44,751","55,506",10.7%,6.1%
"Norman city, Oklahoma","128,087","131,008",59.7%,59.2%,64.1%,61.7%,"57,786","73,618",6.7%,3.7%
"Oklahoma City city, Oklahoma","687,691","713,014",61.9%,64.0%,67.0%,67.7%,"59,214","70,040",5.9%,4.1%
"Tulsa city, Oklahoma","411,905","413,652",58.8%,61.1%,63.4%,64.9%,"51,008","60,930",7.1%,5.4%
"Beaverton city, Oregon","98,204","98,302",66.2%,68.8%,69.4%,71.9%,"76,520","99,592",4.5%,4.3%
"Bend city, Oregon","102,079","106,925",,66.2%,,68.6%,"82,102","104,031",,3.5%
"Eugene city, Oregon","175,102","178,789",58.1%,58.0%,63.1%,62.7%,"59,338","70,781",7.9%,7.5%
"Gresham city, Oregon","113,106","111,500",58.5%,58.9%,63.3%,63.9%,"66,129","76,952",7.4%,7.1%
"Hillsboro city, Oregon","106,651","110,340",64.2%,65.8%,68.0%,69.7%,"97,436","103,064",5.6%,5.6%
"Medford city, Oregon","86,374","86,313",54.6%,58.6%,59.2%,61.2%,"63,703","72,324",7.5%,4.3%
"Portland city, Oregon","642,218","636,958",65.6%,67.3%,70.7%,70.8%,"79,057","91,478",7.1%,5.0%
"Salem city, Oregon","177,727","180,389",56.6%,59.0%,60.1%,63.1%,"63,927","79,638",5.6%,6.4%
"Allentown city, Pennsylvania","125,934","127,225",52.9%,57.2%,58.8%,64.4%,"46,745","47,463",10.1%,11.2%
"Bethlehem city, Pennsylvania","75,134","79,959",56.8%,61.6%,60.9%,65.6%,"57,320","75,194",6.7%,6.0%
