City,Pct_30_35_2021,Pct_30_35_2024,Pct_35_40_2021,Pct_35_40_2024,Pct_40_50_2021,Pct_40_50_2024,Pct_50plus_2021,Pct_50plus_2024,Total_Burdened_2021,Total_Burdened_2024,Median gross rent (2021),Median gross rent (2024),Median value (2021),Median value (2024),Total_Units_2021,Total_Units_2024,Occupancy_2021,Occupancy_2024,Vacant_2021,Vacant_2024,Owner_Occupied_2021,Owner_Occupied_2024,Renter_Occupied_2021,Renter_Occupied_2024,Units_Built_2021,Units_Built_2024,UIS_Total_2021,UIS_Total_2024,Detached_1_Unit_2021,Detached_1_Unit_2024,Units_10_19_2021,Units_10_19_2024,Units_20_49_2021,Units_20_49_2024,Units_50plus_2021,Units_50plus_2024,Population_2021,Population_2024,EmpPopRatio_2021,EmpPopRatio_2024,LFPR_2021,LFPR_2024,Median_HH_Income_2021,Median_HH_Income_2024,Unemployment_Rate_2021,Unemployment_Rate_2024
"Raleigh city, North Carolina","9,029","13,285","5,974","7,848","7,779","8,742","24,710","27,090","110,475","91,550","1,256","1,661","340,200","450,300","217,866","234,750","194,917","219,004","22,949","15,746","103,367","108,529","91,550","110,475","217,866","234,750","217,866","234,750","98,096","104,054","26,983","20,258","13,087","16,033","20,050","29,590",469502.0,499637.0,64.8%,69.5%,68.6%,72.1%,"74,612","85,060",5.5%,3.6%
"Winston-Salem city, North Carolina","3,145","4,705","1,438","4,173","4,963","3,634","11,173","14,483","45,787","44,717",877,"1,271","197,300","281,200","114,871","116,276","101,551","108,695","13,320","7,581","56,834","62,908","44,717","45,787","114,871","116,276","114,871","116,276","71,985","71,730","8,105","8,832","4,049","4,844","5,803","6,079",250337.0,255782.0,57.0%,59.9%,61.0%,62.7%,"54,228","57,758",6.3%,4.2%
"Cincinnati city, Ohio","6,728","5,488","5,676","6,103","6,924","5,599","24,901","26,765","87,420","89,518",841,"1,115","190,300","263,300","160,420","160,935","144,929","145,964","15,491","14,971","55,411","58,544","89,518","87,420","160,420","160,935","160,420","160,935","58,779","62,190","16,085","15,925","10,683","9,581","21,127","21,810",308913.0,314914.0,59.3%,63.7%,64.4%,67.6%,"42,733","56,910",7.6%,5.7%
"Cleveland city, Ohio","9,087","10,351","6,397","4,346","9,215","5,708","24,034","24,993","92,388","104,282",799,961,"83,400","109,600","202,735","204,873","171,321","171,450","31,414","33,423","67,039","79,062","104,282","92,388","202,735","204,873","202,735","204,873","98,774","96,047","7,697","7,764","6,769","8,403","26,651","26,072",368006.0,365391.0,52.4%,57.0%,59.8%,61.5%,"35,562","43,383",12.3%,7.2%
"Columbus city, Ohio","16,202","18,077","12,862","13,017","17,730","19,644","45,224","55,456","214,714","215,178","1,098","1,383","219,200","279,900","422,120","436,552","390,605","396,650","31,515","39,902","175,427","181,936","215,178","214,714","422,120","436,552","422,120","436,552","193,185","192,785","36,511","38,782","19,038","22,596","28,608","36,060",907310.0,931551.0,65.3%,66.4%,69.7%,69.7%,"58,202","67,084",6.2%,4.7%
"Toledo city, Ohio","3,903","5,180","2,359","2,035","4,376","4,059","11,024","11,709","55,671","53,064",769,908,"100,100","122,600","133,129","131,630","120,895","118,699","12,234","12,931","67,831","63,028","53,064","55,671","133,129","131,630","133,129","131,630","88,326","85,748","6,503","7,842","4,146","3,773","7,134","8,707",268504.0,265651.0,57.0%,58.1%,63.2%,62.8%,"44,150","50,562",9.3%,7.4%
"Oklahoma City city, Oklahoma","11,471","10,109","6,041","7,667","7,712","11,625","27,415","26,300","124,926","110,815",936,"1,178","190,900","259,300","302,241","314,255","275,285","290,311","26,956","23,944","164,470","165,385","110,815","124,926","302,241","314,255","302,241","314,255","204,895","212,321","16,984","14,275","7,274","8,637","13,807","17,645",687691.0,713014.0,61.9%,64.0%,67.0%,67.7%,"59,214","70,040",5.9%,4.1%
"Tulsa city, Oklahoma","7,621","8,504","5,402","3,886","6,845","7,871","18,565","19,181","86,675","84,636",881,"1,099","172,000","234,400","194,402","194,104","173,943","176,944","20,459","17,160","89,307","90,269","84,636","86,675","194,402","194,104","194,402","194,104","122,258","117,938","17,805","16,866","8,530","10,177","11,234","12,611",411905.0,413652.0,58.8%,61.1%,63.4%,64.9%,"51,008","60,930",7.1%,5.4%
"Portland city, Oregon","9,989","13,074","9,739","7,402","11,608","13,216","33,673","40,158","145,097","133,613","1,394","1,648","520,200","588,200","303,483","315,899","286,734","294,419","16,749","21,480","153,121","149,322","133,613","145,097","303,483","315,899","303,483","315,899","161,622","161,773","14,350","17,591","19,891","23,515","49,238","58,922",642218.0,636958.0,65.6%,67.3%,70.7%,70.8%,"79,057","91,478",7.1%,5.0%
"Philadelphia city, Pennsylvania","25,801","21,839","14,211","18,181","24,175","25,555","88,228","105,205","338,178","311,986","1,181","1,500","220,700","253,600","733,015","763,527","660,921","702,646","72,094","60,881","348,935","364,468","311,986","338,178","733,015","763,527","733,015","763,527","72,869","65,148","18,448","17,967","22,659","32,969","82,129","91,508",1576251.0,1573916.0,56.3%,61.0%,62.9%,64.9%,"52,899","60,521",10.5%,5.9%
"Pittsburgh city, Pennsylvania","6,919","6,061","4,096","4,906","6,265","4,545","14,843","17,785","73,930","70,018","1,074","1,304","181,100","220,400","159,435","167,913","136,747","142,997","22,688","24,916","66,729","69,067","70,018","73,930","159,435","167,913","159,435","167,913","69,660","72,293","6,905","9,978","6,881","7,695","18,374","21,220",300454.0,307670.0,58.5%,61.1%,63.2%,64.6%,"57,821","66,954",7.2%,5.3%
"Memphis city, Tennessee","10,074","9,266","8,951","9,531","12,128","15,832","39,377","39,287","139,093","137,346",989,"1,263","142,800","209,800","288,491","291,759","256,968","250,830","31,523","40,929","119,622","111,737","137,346","139,093","288,491","291,759","288,491","291,759","176,062","174,213","16,284","21,659","5,214","8,637","18,009","21,946",628118.0,610936.0,57.4%,57.9%,64.0%,62.8%,"44,317","52,679",9.8%,7.9%
"Nashville-Davidson metropolitan government (balance), Tennessee","13,715","21,773","8,775","14,831","12,518","14,253","34,907","35,963","159,709","142,821","1,316","1,669","346,700","438,800","331,262","369,824","305,247","331,090","26,015","38,734","162,426","171,381","142,821","159,709","331,262","369,824","331,262","369,824","168,658","176,596","28,794","27,722","17,545","20,901","39,419","57,634",678845.0,704965.0,66.4%,72.2%,69.5%,74.6%,"64,857","80,090",4.3%,3.2%
"Arlington city, Texas","6,626","6,757","6,766","5,973","8,715","9,484","18,550","19,471","68,731","68,005","1,211","1,594","254,700","337,800","156,653","158,894","146,888","146,132","9,765","12,762","78,883","77,401","68,005","68,731","156,653","158,894","156,653","158,894","94,349","89,829","11,985","14,012","5,208","6,241","8,092","9,905",392802.0,403657.0,64.5%,66.4%,69.0%,70.6%,"59,889","74,388",6.4%,5.7%
"Austin city, Texas","22,396","25,208","15,307","21,495","21,595","25,391","57,526","61,219","284,749","252,941","1,426","1,770","482,900","571,000","469,156","518,574","449,399","484,550","19,757","34,024","196,458","199,801","252,941","284,749","469,156","518,574","469,156","518,574","201,992","212,673","51,562","57,839","41,881","47,302","80,709","102,430",964000.0,993771.0,71.2%,72.2%,75.3%,75.5%,"79,542","90,430",5.3%,4.3%
"Corpus Christi city, Texas","4,253","6,289","2,556","3,196","4,905","4,903","12,622","11,014","52,358","49,492","1,111","1,269","171,500","234,000","137,431","139,618","117,366","121,883","20,065","17,735","67,874","69,525","49,492","52,358","137,431","139,618","137,431","139,618","89,356","89,294","7,800","8,290","3,203","5,297","5,689","7,403",317768.0,317314.0,56.8%,58.8%,60.8%,62.0%,"59,812","66,967",5.3%,4.7%
"Dallas city, Texas","27,936","27,995","23,558","21,638","24,361","29,648","77,490","67,927","310,458","306,490","1,213","1,599","267,600","340,400","591,773","599,962","536,008","537,317","55,765","62,645","229,518","226,859","306,490","310,458","591,773","599,962","591,773","599,962","247,155","241,750","71,373","52,529","47,920","43,604","108,657","142,319",1288441.0,1326093.0,64.0%,66.6%,68.2%,69.8%,"57,995","74,323",6.0%,4.3%
"El Paso city, Texas","8,248","8,579","5,687","8,669","8,686","8,306","22,714","24,705","94,792","94,741",904,"1,066","152,800","209,600","261,779","267,769","242,529","246,570","19,250","21,199","147,788","151,778","94,741","94,792","261,779","267,769","261,779","267,769","177,199","177,271","15,191","13,023","6,353","7,111","12,638","12,360",678422.0,681724.0,55.2%,57.9%,62.3%,62.5%,"51,241","59,932",7.9%,4.3%
"Fort Worth city, Texas","13,935","10,786","12,004","12,258","19,620","12,868","36,574","42,998","151,953","149,089","1,240","1,630","249,000","330,500","361,341","397,627","334,286","362,403","27,055","35,224","185,197","210,450","149,089","151,953","361,341","397,627","361,341","397,627","236,281","259,508","23,442","25,257","16,507","21,077","25,226","35,197",940437.0,1014376.0,64.5%,64.7%,68.1%,68.0%,"68,235","82,503",5.1%,4.5%
"Garland city, Texas","2,659","4,560","3,326","1,703","3,207","3,156","9,883","10,283","34,364","30,834","1,334","1,679","232,300","298,200","80,577","86,420","77,777","81,428","2,800","4,992","46,943","47,064","30,834","34,364","80,577","86,420","80,577","86,420","55,385","54,625","9,652","9,748","2,201","5,572","3,532","5,215",241870.0,250571.0,62.1%,65.3%,65.6%,68.4%,"61,607","75,797",5.2%,4.5%
"Houston city, Texas","44,910","50,841","40,263","39,819","46,611","55,674","138,566","156,500","557,742","534,755","1,120","1,408","236,700","301,200","1,028,763","1,070,556","924,981","943,336","103,782","127,220","390,226","385,594","534,755","557,742","1,028,763","1,070,556","1,028,763","1,070,556","444,183","448,484","112,057","118,969","79,491","68,908","191,749","236,338",2287047.0,2387910.0,61.6%,62.9%,67.3%,67.2%,"55,499","64,361",8.4%,6.4%
"Irving city, Texas","4,602","3,508","2,913","4,480","5,480","5,777","11,443","11,616","59,834","60,765","1,291","1,734","274,100","349,800","100,800","103,492","95,309","93,239","5,491","10,253","34,544","33,405","60,765","59,834","100,800","103,492","100,800","103,492","40,162","39,167","15,336","15,496","7,025","10,547","13,998","16,498",254190.0,258052.0,69.0%,72.6%,72.8%,76.2%,"70,340","84,849",5.1%,4.3%
"Laredo city, Texas","3,070","3,376",841,"2,055","2,586","2,074","6,490","8,179","28,379","27,950",866,"1,062","157,400","210,100","82,105","87,698","76,095","80,968","6,010","6,730","48,145","52,589","27,950","28,379","82,105","87,698","82,105","87,698","54,480","58,251","2,146","3,552","1,211","2,484","4,610","3,958",258014.0,261408.0,56.0%,64.3%,59.9%,66.4%,"52,438","61,519",6.5%,3.1%
"Lubbock city, Texas","3,464","4,558","2,139","2,041","2,545","5,236","15,389","16,430","53,270","50,704",969,"1,236","171,400","223,600","113,800","124,364","104,426","109,722","9,374","14,642","53,722","56,452","50,704","53,270","113,800","124,364","113,800","124,364","73,731","82,129","6,167","6,953","3,137","4,560","7,808","7,225",260990.0,272085.0,62.9%,65.5%,66.8%,68.6%,"54,747","62,360",5.5%,4.4%
"Plano city, Texas","4,739","4,901","2,984","3,210","2,453","4,124","9,558","9,811","49,815","47,589","1,592","1,904","387,200","541,700","114,797","120,096","108,472","115,376","6,325","4,720","60,883","65,561","47,589","49,815","114,797","120,096","114,797","120,096","69,148","73,397","10,398","7,105","3,728","5,031","13,856","16,857",287037.0,292615.0,65.2%,66.2%,68.8%,69.5%,"95,002","115,901",5.1%,4.0%
"San Antonio city, Texas","22,899","23,102","16,959","20,742","23,083","27,792","64,806","71,442","273,449","259,122","1,123","1,389","197,600","260,900","603,670","629,160","549,245","568,979","54,425","60,181","290,123","295,530","259,122","273,449","603,670","629,160","603,670","629,160","364,587","365,388","51,492","55,423","32,766","35,826","39,630","50,306",1451863.0,1526621.0,59.8%,60.7%,65.6%,65.8%,"54,923","66,176",7.2%,5.7%
"Chesapeake city, Virginia","1,907","2,724","1,367","1,431","3,185","2,281","7,597","8,307","26,496","24,663","1,294","1,630","320,600","388,600","96,040","98,231","93,849","95,340","2,191","2,891","69,186","68,844","24,663","26,496","96,040","98,231","96,040","98,231","66,857","65,507","3,504","2,854","2,393","1,618","2,610","2,997",251269.0,254997.0,60.8%,58.1%,68.5%,64.6%,"88,815","89,265",4.6%,4.6%
"Virginia Beach city, Virginia","5,681","7,818","4,128","4,488","6,997","7,347","16,167","15,746","66,408","63,631","1,431","1,753","328,500","403,200","190,981","192,239","182,775","179,761","8,206","12,478","119,144","113,353","63,631","66,408","190,981","192,239","190,981","192,239","101,694","100,297","8,522","10,035","4,074","3,526","10,278","11,919",457672.0,454808.0,60.3%,59.8%,69.5%,68.1%,"81,634","94,579",4.1%,3.1%
"Seattle city, Washington","13,962","22,671","10,435","13,976","15,712","16,242","45,338","41,794","222,838","190,063","1,787","2,007","848,100","950,800","384,799","411,671","351,650","383,698","33,149","27,973","161,587","160,860","190,063","222,838","384,799","411,671","384,799","411,671","152,342","143,530","26,934","31,371","45,666","53,238","93,808","115,785",733904.0,780992.0,69.2%,71.5%,73.3%,75.6%,"110,781","118,745",5.3%,5.2%
"Madison city, Wisconsin","5,971","7,165","4,023","5,048","3,227","7,848","17,052","17,498","74,964","63,695","1,227","1,484","321,800","418,400","129,717","141,476","123,938","133,564","5,779","7,912","60,243","58,600","63,695","74,964","129,717","141,476","129,717","141,476","53,814","54,615","6,736","10,364","16,018","17,844","19,956","26,437",269162.0,285318.0,66.9%,70.2%,69.2%,72.0%,"67,270","79,254",3.2%,2.3%
"Milwaukee city, Wisconsin","11,497","11,046","6,522","8,499","10,327","10,886","35,701","34,624","133,112","136,318",935,"1,081","160,100","207,900","257,812","260,386","232,362","235,240","25,450","25,146","96,044","102,128","136,318","133,112","257,812","260,386","257,812","260,386","100,228","102,065","10,529","10,326","17,089","20,026","24,500","27,044",569326.0,563512.0,59.5%,60.9%,64.1%,65.1%,"46,637","56,792",7.0%,6.4%
"San Juan zona urbana, Puerto Rico","3,144","3,937","3,347","3,306","3,318","3,569","14,042","10,956","63,130","63,065",530,591,"149,100","174,400","174,398","191,180","129,554","138,716","44,844","52,464","66,489","75,586","63,065","63,130","174,398","191,180","174,398","191,180","67,088","70,556","17,005","15,665","11,024","8,236","29,437","38,701",320456.0,313579.0,44.3%,47.6%,52.1%,52.5%,"22,556","30,786",14.8%,9.1%
