Geographic Area Name,Median gross rent (2021),Median gross rent (2024),Median value (2021),Median value (2024)
"Bend city, Oregon","1,690","1,962","569,200","744,800"
"Eugene city, Oregon","1,182","1,492","394,800","471,000"
"Gresham city, Oregon","1,300","1,638","411,100","459,000"
"Hillsboro city, Oregon","1,661","1,965","432,600","561,400"
"Medford city, Oregon","1,139","1,393","363,800","430,100"
"Portland city, Oregon","1,394","1,648","520,200","588,200"
"Salem city, Oregon","1,179","1,507","351,300","433,000"
"Allentown city, Pennsylvania","1,131","1,391","173,400","242,400"
"Bethlehem city, Pennsylvania","1,063","1,520","214,800","289,200"
"Erie city, Pennsylvania",732,808,"95,900","135,200"
"Philadelphia city, Pennsylvania","1,181","1,500","220,700","253,600"
"Pittsburgh city, Pennsylvania","1,074","1,304","181,100","220,400"
"Reading city, Pennsylvania",893,"1,119","92,500","157,200"
"Scranton city, Pennsylvania",837,"1,102","130,600","177,500"
"Cranston city, Rhode Island","1,261","1,458","353,200","415,200"
"Pawtucket city, Rhode Island",996,"1,229","275,200","363,900"
"Providence city, Rhode Island","1,218","1,429","291,200","413,800"
"Warwick city, Rhode Island","1,212","1,499","293,500","389,100"
"Charleston city, South Carolina","1,395","1,887","420,800","600,300"
"Columbia city, South Carolina","1,049","1,249","218,500","287,600"
"Greenville city, South Carolina","1,073","1,404","389,700","553,700"
"Mount Pleasant town, South Carolina","1,866","2,271","591,900","895,700"
"North Charleston city, South Carolina","1,215","1,519","229,800","347,200"
"Rock Hill city, South Carolina","1,101","1,421","245,000","306,800"
"Rapid City city, South Dakota",950,"1,210","247,700","344,200"
"Sioux Falls city, South Dakota",893,"1,105","249,600","332,600"
"Chattanooga city, Tennessee","1,035","1,396","235,900","323,700"
"Clarksville city, Tennessee","1,099","1,356","211,100","307,300"
"Franklin city, Tennessee","1,625","2,111","592,200","789,100"
"Jackson city, Tennessee",947,"1,316","170,400","242,500"
"Johnson City city, Tennessee",860,"1,107","216,000","297,400"
"Knoxville city, Tennessee",967,"1,289","193,600","294,700"
"Memphis city, Tennessee",989,"1,263","142,800","209,800"
"Murfreesboro city, Tennessee","1,209","1,680","323,600","456,700"
"Nashville-Davidson metropolitan government (balance), Tennessee","1,316","1,669","346,700","438,800"
"Abilene city, Texas",985,"1,208","157,900","185,900"
"Allen city, Texas","1,674","2,046","392,000","523,100"
"Amarillo city, Texas",959,"1,123","163,400","213,900"
"Arlington city, Texas","1,211","1,594","254,700","337,800"
"Atascocita CDP, Texas","1,307","1,518","263,000","338,500"
"Austin city, Texas","1,426","1,770","482,900","571,000"
"Baytown city, Texas","1,153","1,354","173,200","218,600"
"Beaumont city, Texas",939,"1,230","150,100","173,200"
"Brownsville city, Texas",801,982,"104,100","176,300"
"Bryan city, Texas","1,070","1,217","167,500","255,700"
"Carrollton city, Texas","1,399","1,828","302,800","420,800"
"Cedar Park city, Texas","1,463","1,921","448,600","569,500"
"College Station city, Texas","1,033","1,223","291,300","375,800"
"Conroe city, Texas","1,180","1,435","267,100","316,400"
"Corpus Christi city, Texas","1,111","1,269","171,500","234,000"
"Dallas city, Texas","1,213","1,599","267,600","340,400"
"Denton city, Texas","1,112","1,568","288,300","379,900"
"Edinburg city, Texas",831,"1,086","153,500","223,900"
"El Paso city, Texas",904,"1,066","152,800","209,600"
"Flower Mound town, Texas","1,854","2,236","475,300","627,100"
"Fort Worth city, Texas","1,240","1,630","249,000","330,500"
"Frisco city, Texas","1,696","2,200","520,200","735,300"
"Garland city, Texas","1,334","1,679","232,300","298,200"
"Georgetown city, Texas","1,582","1,787","351,600","432,300"
"Grand Prairie city, Texas","1,309","1,744","242,200","322,900"
"Harlingen city, Texas",819,"1,043","106,600","153,200"
"Houston city, Texas","1,120","1,408","236,700","301,200"
"Irving city, Texas","1,291","1,734","274,100","349,800"
"Killeen city, Texas",958,"1,225","179,900","239,200"
"Laredo city, Texas",866,"1,062","157,400","210,100"
"League City city, Texas","1,423","1,594","300,000","379,100"
"Leander city, Texas","1,694","2,087","437,600","569,600"
"Lewisville city, Texas","1,377","1,746","308,800","413,300"
"Longview city, Texas",893,"1,185","164,200","224,700"
"Lubbock city, Texas",969,"1,236","171,400","223,600"
"McAllen city, Texas",906,970,"164,300","218,500"
"McKinney city, Texas","1,530","1,900","391,200","555,800"
"Mansfield city, Texas","1,502","2,033","345,700","482,300"
"Mesquite city, Texas","1,216","1,604","208,900","267,000"
"Midland city, Texas",978,"1,632","276,100","324,300"
"Mission city, Texas",818,"1,026","135,000","207,800"
"Missouri City city, Texas","1,705","2,025","273,300","322,200"
"New Braunfels city, Texas","1,369","1,682","285,600","364,500"
"North Richland Hills city, Texas","1,332","1,770","314,000","398,500"
"Odessa city, Texas","1,106","1,384","196,500","243,600"
"Pasadena city, Texas","1,100","1,170","192,300","220,000"
"Pearland city, Texas","1,450","1,892","307,800","376,400"
"Pflugerville city, Texas","1,578","2,135","341,600","424,600"
"Pharr city, Texas",916,935,"91,200","154,800"
"Plano city, Texas","1,592","1,904","387,200","541,700"
"Richardson city, Texas","1,523","1,897","358,000","460,500"
"Round Rock city, Texas","1,512","1,826","355,600","442,700"
"San Angelo city, Texas",892,"1,201","158,800","222,600"
"San Antonio city, Texas","1,123","1,389","197,600","260,900"
"San Marcos city, Texas","1,311","1,285","285,300","364,600"
"Spring CDP, Texas","1,680","1,684","188,500","240,900"
"Sugar Land city, Texas","1,566","2,182","369,300","472,000"
"Temple city, Texas","1,002","1,324","202,700","268,200"
"The Woodlands CDP, Texas","1,494","1,918","429,500","616,700"
"Tyler city, Texas",969,"1,291","195,900","262,800"
"Victoria city, Texas","1,000","1,123","179,400","213,800"
"Waco city, Texas","1,014","1,254","177,300","256,300"
"Wichita Falls city, Texas",885,"1,083","118,900","183,500"
"Layton city, Utah","1,308","1,601","409,200","553,600"
"Lehi city, Utah","1,657","2,037","536,600","642,300"
"Ogden city, Utah",929,"1,479","296,500","370,500"
"Orem city, Utah","1,148","1,416","404,200","528,700"
"Provo city, Utah","1,020","1,255","418,800","513,200"
"St. George city, Utah","1,167","1,691","447,900","519,600"
"Salt Lake City city, Utah","1,192","1,440","459,800","620,100"
"Sandy city, Utah","1,489","1,731","516,400","649,900"
"South Jordan city, Utah","1,584","2,293","603,500","703,100"
"West Jordan city, Utah","1,507","1,818","410,600","554,600"
"West Valley City city, Utah","1,289","1,545","343,300","438,900"
"Alexandria city, Virginia","1,823","2,110","630,500","704,200"
"Arlington CDP, Virginia","1,975","2,347","779,400","945,700"
"Centreville CDP, Virginia","1,921","2,309","526,800","622,700"
"Chesapeake city, Virginia","1,294","1,630","320,600","388,600"
"Dale City CDP, Virginia","1,526","1,850","371,800","439,600"
"Hampton city, Virginia","1,182","1,521","211,900","266,100"
"Lynchburg city, Virginia",946,"1,162","175,600","249,200"
"Newport News city, Virginia","1,125","1,437","227,200","283,200"
"Norfolk city, Virginia","1,108","1,417","250,300","311,200"
"Portsmouth city, Virginia","1,111","1,282","221,500","263,900"
"Richmond city, Virginia","1,144","1,451","311,700","377,900"
"Roanoke city, Virginia",848,"1,043","160,000","214,800"
"Suffolk city, Virginia","1,231","1,660","302,200","373,000"
"Virginia Beach city, Virginia","1,431","1,753","328,500","403,200"
"Auburn city, Washington","1,437","1,785","474,600","573,100"
"Bellevue city, Washington","2,220","2,496","1,107,200","1,508,500"
"Bellingham city, Washington","1,324","1,587","586,700","692,600"
"Everett city, Washington","1,471","1,838","496,900","598,900"
"Federal Way city, Washington","1,600","1,907","461,000","609,200"
"Kennewick city, Washington","1,072","1,280","330,200","413,700"
"Kent city, Washington","1,628","1,991","523,000","632,100"
"Kirkland city, Washington","2,082","2,412","939,900","1,241,600"
"Marysville city, Washington","1,667","2,033","461,100","600,400"
"Pasco city, Washington","1,071","1,377","322,200","426,300"
"Redmond city, Washington","2,061","2,396","1,120,300","1,196,800"
"Renton city, Washington","1,753","2,096","587,300","703,500"
"Sammamish city, Washington","2,542","3,200","1,158,000","1,610,200"
"Seattle city, Washington","1,787","2,007","848,100","950,800"
"South Hill CDP, Washington","1,807","2,374","462,200","610,400"
"Spokane city, Washington",986,"1,341","318,200","379,300"
"Spokane Valley city, Washington","1,142","1,573","323,800","412,100"
"Tacoma city, Washington","1,429","1,723","435,700","500,500"
"Vancouver city, Washington","1,431","1,767","399,100","479,800"
"Yakima city, Washington",850,"1,101","260,500","339,600"
"Appleton city, Wisconsin",781,"1,210","193,800","269,300"
"Eau Claire city, Wisconsin",858,"1,196","220,300","283,700"
"Green Bay city, Wisconsin",756,"1,013","174,400","246,300"
"Janesville city, Wisconsin",858,993,"183,600","253,000"
"Kenosha city, Wisconsin","1,045","1,263","206,700","256,700"
"Madison city, Wisconsin","1,227","1,484","321,800","418,400"
"Milwaukee city, Wisconsin",935,"1,081","160,100","207,900"
"Oshkosh city, Wisconsin",755,995,"152,100","198,800"
"Racine city, Wisconsin",862,"1,215","144,100","173,100"
"Waukesha city, Wisconsin","1,032","1,232","252,500","347,300"
"Cheyenne city, Wyoming",918,"1,178","276,100","360,800"
"Bayamón zona urbana, Puerto Rico",630,733,"123,600","152,900"
"Caguas zona urbana, Puerto Rico",608,642,"118,200","136,400"
"Carolina zona urbana, Puerto Rico",645,665,"138,400","161,600"
"Guaynabo zona urbana, Puerto Rico",997,"1,057","213,900","257,100"
"Ponce zona urbana, Puerto Rico",535,495,"102,500","125,300"
"San Juan zona urbana, Puerto Rico",530,591,"149,100","174,400"
